obf,edax_d20_score,edax_d20_depth_observed,edax_d20_best_move,parse_ok
------------------X-OX---XOOO---X-OOXX----O-O------------------- X;,-10,20,d3,1
------------------XXXX-----XOOO---XXOO-----OO------------------- X;,-13,20,h4,1
------------------X-X-----OOXXX----OO-----XOO------OO----------- X;,-13,20,c5,1
------------------X-X-----OOXX-----OO-X---XOO------OO----------- X;,-11,20,c5,1
----------X-------XXOX-----OOOO---XXOX-----O-------------------- X;,-12,20,h3,1
-----------X------XX-X-----XOOO---XXOOO----O-------------------- X;,-12,20,e7,1
-------------------XXX----OXX-----XXOX-----OOO----O------------- X;,-7,20,e7,1
------------------XXXX----XOX-----XOOOO-----OO------------------ X;,-9,20,d6,1
-------------------OX-----XOO-----XOXXX---XOOO------------------ X;,-10,20,e2,1
-------------------XXX----XOX----XOOOX---O--OO------------------ X;,-11,20,d6,1
-------------------XXX----OOX-----XOOX----XOOO------------------ X;,-13,20,c3,1
------------------OX-X----OOXX---XOOOX-----XO------------------- X;,-14,20,b3,1
------------------XXX------XXXX---XOOOO---OO-------------------- X;,-14,20,h6,1
-----------------XXXOX----OOOX-----OOX-----XO------------------- X;,-14,20,d2,1
----------XO------XOXX-----OXX----XXOX-----O-------------------- X;,-10,20,e6,1
------------------OX-XX---XOOX---X-OOO-----XO------------------- X;,-17,20,b3,1
----------X--X----XXX------XOO----XOOX----OO-------------------- X;,-17,20,e6,1
------------------OX-XX--XXOOX-----OOO-----XO------------------- X;,-17,20,b3,1
-------------X-----OXX----OOX-----XOXX----XOO------------------- X;,-19,20,f6,1
-----------X------OOOX----XXOX-----XOO----XO-------------------- X;,-12,20,b4,1
-------------------OXX----XOX-----XOOO----XOOO------------------ X;,-12,20,f7,1
-----------OX-----OO-X----XOXX-----XOO----XO-------------------- X;,-12,20,d1,1
------------------X-OX----XOX-----XOOX----XOOO------------------ X;,-13,20,d3,1
-----------X-------XXX-----XX-----OXOO----XOOO------------------ X;,-14,20,b5,1
------------X-------XX----OOX-----XOOX----XOOO------------------ X;,-15,20,d7,1
-----------------X--OX----XOX-----XOOX----XOOO------------------ X;,-15,20,d3,1
-------------X----O-XX----OOX-----XXOX----X-OO------------------ X;,-15,20,d3,1
----------X-------XX-X----XOXX----OOOO----XO-------------------- X;,-19,20,f6,1
-----------------XXX-X---XXOOO-----OO-----OOO------------------- X;,-12,20,g4,1
------------------XXX------OO-----OOOXX---XOOO------------------ X;,-11,20,c4,1
-----------------OOX-X---XOXXXX----OO------XO------------------- X;,-12,20,b5,1
-----------X------OX-X---OOOXX-----XOO----XO-------------------- X;,-13,20,f6,1
----------X-------XX-X---XXOOO-----OO-----OOO------------------- X;,-14,20,g4,1
------------------OX-X---XOOXX----OOOX-----XO------------------- X;,-13,20,c6,1
-----------X------XX-X---XXOOO-----OO-----OOO------------------- X;,-13,20,g4,1
----------X--------XX------OX-----OOOXX---XOOO------------------ X;,-21,20,e7,1
----------O------XOX-X----OOXXX----OO------XO------------------- X;,-12,20,b4,1
------------------OX-X---OOOXXX--X-OO------XO------------------- X;,-14,20,c6,1
------------X-----X-XX----XOOO----XOOO------OO------------------ X;,-16,20,g4,1
------------X------OXX---XXOX-----XOOX------OO------------------ X;,-17,20,c3,1
------------------X-X-----OOXX----OOO-X---XOOO------------------ X;,-14,20,c7,1
-------------------XOX----XXOXX--X-OO-----OOO------------------- X;,-13,20,d2,1
------------------OX-X----XOXX---X-OOX----OOO------------------- X;,-11,20,c5,1
------------X-----OX-X----XOXXX----OOO----XO-------------------- X;,-18,20,c2,1
----------X-------OOOO-----OX-X---OOXX----X-X------------------- X;,-21,20,c4,1
------------X-X---OX-X----XOXO-----XOO----XO-------------------- X;,-32,20,d7,1
------------------XXXO-O---XXXO----OOO----XO-------------------- X;,-5,20,g3,1
------------------X-OX----OOOX-----XOX----XOOO------------------ X;,-5,20,c7,1
------------------XXXXX---OOOO-----OOO----XO-------------------- X;,-8,20,c5,1
------------------XXXO----OOOX-----OOOX---XO-------------------- X;,-8,20,g6,1
------------------XO-OX----OOO-----XXO----XXXO------------------ X;,-9,20,g5,1
------------------X--X---XXXXX-----OOOO----OOO------------------ X;,-10,20,h6,1
------------------X-OX----XOOX----XXOX-----OOO------------------ X;,-11,20,d3,1
-------------OX---XXXO-----XXO-----XOO----XO-------------------- X;,-24,20,f6,1
------------------XXXX-----OOOO---OXOX----XO-------------------- X;,-6,20,f6,1
------------------XXX-----XOOO---OOOOX----XO-------------------- X;,-7,20,d7,1
------------------XXX------OOOO---OOOXX---XO-------------------- X;,-7,20,c4,1
-------------------XXX----OOX-----XXOO----X-OOO----------------- X;,-11,20,c3,1
------------------XOOX---XXXOX-----OOX-----XO------------------- X;,-13,20,c6,1
------------------XXX-----OOOO----XOOX---XXO-------------------- X;,-14,20,f6,1
------------------XO-X----XOOX----XXOX-----XOO------------------ X;,-15,20,e2,1
------------------XXX------OOO---XXXOX----XOO------------------- X;,-17,20,g5,1
------------X-------XX----XOX----OOOO-----X-OOO----------------- X;,-8,20,f7,1
-------------O----X--OX--XXXOO-----OOO-----XO------------------- X;,-8,20,e3,1
